customerID,ChurnCategory,ChurnReason
9998-HXKO,Competitor,Competitor made better offer
4441-WTBT,Competitor,Competitor made better offer
7160-LCLC,Other,Moved
3404-PVOS,Competitor,Competitor made better offer
5053-TIAA,Competitor,Competitor had better devices
0536-HHVP,Competitor,Competitor offered higher download speeds
9770-VPWI,Attitude,Attitude of support person
4132-IHWC,Competitor,Competitor had better devices
8198-RCTF,Attitude,Attitude of support person
8570-SXEK,Dissatisfaction,Network reliability
8833-XHNY,Other,Don't know
3028-WEEF,Other,Don't know
0941-DZOC,Competitor,Competitor had better devices
8924-QHOG,Dissatisfaction,Service dissatisfaction
1875-TWXL,Competitor,Competitor had better devices
4348-HBUG,Competitor,Competitor had better devices
4113-HFIV,Dissatisfaction,Product dissatisfaction
9593-ALKB,Other,Don't know
7208-YLRW,Competitor,Competitor made better offer
0803-WVCJ,Dissatisfaction,Poor expertise of online support
1855-HKRM,Price,Price too high
5031-ZBSA,Competitor,Competitor had better devices
7967-MCTP,Attitude,Attitude of support person
6236-FNFH,Dissatisfaction,Network reliability
5377-TZAV,Dissatisfaction,Limited range of services
8708-PTFP,Price,Lack of affordable download/upload speed
0456-YCYY,Price,Long distance charges
5879-XLWM,Competitor,Competitor had better devices
4089-RBEL,Price,Price too high
2144-GJXU,Competitor,Competitor had better devices
9971-YEZD,Dissatisfaction,Service dissatisfaction
4120-REOY,Attitude,Attitude of support person
1193-SLDB,Dissatisfaction,Network reliability
6654-VJTW,Other,Don't know
3795-BATD,Other,Don't know
8406-NANY,Other,Don't know
8289-YYQE,Dissatisfaction,Poor expertise of online support
1259-PAGJ,Competitor,Competitor made better offer
7507-BFJR,Competitor,Competitor made better offer
5598-YIKV,Competitor,Competitor made better offer
1753-LLGC,Competitor,Competitor made better offer
8967-ZTRX,Attitude,Attitude of support person
1151-RZCI,Competitor,Competitor made better offer
2239-SOGT,Other,Don't know
7890-EXWN,Competitor,Competitor made better offer
1557-GSPG,Competitor,Competitor made better offer
3015-DALS,Other,Don't know
8092-ZSSK,Competitor,Competitor made better offer
5229-OAPS,Competitor,Competitor made better offer
2582-ZYIL,Competitor,Competitor made better offer
4425-UNOK,Competitor,Competitor made better offer
3110-PUWY,Competitor,Competitor made better offer
7912-TRXF,Other,Don't know
7403-HTOY,Competitor,Competitor made better offer
4058-REIE,Competitor,Competitor made better offer
6819-ORJV,Competitor,Competitor made better offer
9976-AHJN,Competitor,Competitor made better offer
0756-BGMW,Competitor,Competitor made better offer
1144-ETJW,Competitor,Competitor made better offer
8080-ZOAB,Competitor,Competitor made better offer
8843-SRMY,Competitor,Competitor made better offer
7772-ASRX,Competitor,Competitor made better offer
8843-HNDV,Competitor,Competitor made better offer
2467-XGIS,Competitor,Competitor made better offer
3168-DHLL,Competitor,Competitor made better offer
4711-EVEW,Competitor,Competitor made better offer
5415-CNJH,Competitor,Competitor made better offer
0944-PIYZ,Competitor,Competitor made better offer
6563-YQWO,Competitor,Competitor made better offer
0961-FZVL,Competitor,Competitor had better devices
0936-LTQE,Dissatisfaction,Network reliability
3517-EVLO,Price,Long distance charges
3993-MIVK,Competitor,Competitor made better offer
2957-HCPH,Other,Don't know
6608-GMUC,Competitor,Competitor had better devices
0052-KHBI,Competitor,Competitor had better devices
0225-SXMU,Competitor,Competitor had better devices
4913-MEPW,Competitor,Competitor had better devices
2039-OJSL,Competitor,Competitor had better devices
8067-GPHE,Competitor,Competitor had better devices
1672-YRMP,Competitor,Competitor had better devices
6961-ALKT,Competitor,Competitor had better devices
8154-DHII,Competitor,Competitor made better offer
5146-QZLL,Competitor,Competitor had better devices
4273-VKWW,Price,Price too high
2287-QQND,Dissatisfaction,Product dissatisfaction
5800-ELVI,Competitor,Competitor had better devices
8710-BSFN,Attitude,Attitude of support person
2285-BZCN,Dissatisfaction,Network reliability
2090-LCCO,Dissatisfaction,Limited range of services
9384-QYPC,Price,Lack of affordable download/upload speed
2440-TIIS,Competitor,Competitor had better devices
3868-VFRU,Other,Don't know
5494-DMWB,Price,Price too high
6069-OAFB,Dissatisfaction,Product dissatisfaction
8965-IZMK,Competitor,Competitor had better devices
8329-FWCZ,Attitude,Attitude of support person
3582-YKVE,Dissatisfaction,Network reliability
2532-FVSD,Other,Poor expertise of online support
4423-TKZM,Other,Don't know
3399-AZDC,Other,Don't know
2210-QVLG,Dissatisfaction,Poor expertise of online support
5770-GEAA,Competitor,Competitor had better devices
1540-PTXX,Competitor,Competitor had better devices
4519-JHXU,Competitor,Competitor offered higher download speeds
8905-SNVM,Competitor,Competitor offered more data
8924-KKGL,Competitor,Competitor made better offer
1885-MMAT,Competitor,Competitor had better devices
5348-LNSV,Competitor,Competitor had better devices
7152-QHZN,Competitor,Competitor had better devices
4399-SJLY,Competitor,Competitor offered higher download speeds
4471-WEEQ,Attitude,Attitude of support person
4681-MTBB,Competitor,Competitor offered more data
6302-WHGJ,Competitor,Competitor offered more data
8809-BLER,Attitude,Attitude of support person
8663-KNUO,Competitor,Competitor made better offer
8161-UXWU,Competitor,Competitor made better offer
7438-VLMJ,Competitor,Competitor had better devices
0770-ZYFP,Competitor,Competitor offered higher download speeds
4658-EGQF,Competitor,Competitor offered more data
3367-ERGM,Other,Don't know
2023-SSWZ,Competitor,Competitor had better devices
3563-BJVC,Competitor,Competitor had better devices
0846-JCRG,Competitor,Competitor offered higher download speeds
6554-AINB,Attitude,Attitude of support person
7889-HMJX,Competitor,Competitor offered higher download speeds
5361-RZVA,Competitor,Competitor offered more data
8305-HRMP,Attitude,Attitude of support person
6883-SUNS,Attitude,Attitude of support person
0375-HYRG,Competitor,Competitor made better offer
4543-TATV,Competitor,Competitor made better offer
7208-YRCL,Competitor,Competitor had better devices
6606-NYNG,Competitor,Competitor made better offer
3174-CMMB,Competitor,Competitor made better offer
8713-IDFY,Competitor,Competitor made better offer
1234-RYYB,Competitor,Competitor had better devices
7647-GERJ,Competitor,Competitor made better offer
3914-NBTO,Competitor,Competitor made better offer
8947-TZTF,Competitor,Competitor made better offer
9338-LAGF,Competitor,Competitor made better offer
3594-GLHQ,Competitor,Competitor made better offer
7134-HCPD,Competitor,Competitor made better offer
6175-PMDT,Other,Don't know
4431-PMPF,Other,Poor expertise of online support
9605-MMZC,Competitor,Competitor made better offer
7340-EHPV,Competitor,Competitor made better offer
6404-DLRI,Competitor,Competitor made better offer
4786-DMMG,Competitor,Competitor made better offer
3056-FUKO,Other,Don't know
0368-DVTQ,Competitor,Competitor had better devices
6822-DEXO,Competitor,Competitor had better devices
5646-PIYI,Competitor,Competitor had better devices
1332-SICA,Attitude,Attitude of support person
4937-AWGZ,Competitor,Competitor offered higher download speeds
6498-RQDN,Competitor,Competitor made better offer
7468-USBC,Competitor,Competitor made better offer
3237-RFQK,Competitor,Competitor had better devices
7675-RGES,Competitor,Competitor made better offer
4232-DXOF,Competitor,Competitor made better offer
5419-BCAW,Attitude,Attitude of service provider
0149-EZUH,Competitor,Competitor had better devices
3419-WASD,Attitude,Attitude of service provider
7964-EPFF,Competitor,Competitor had better devices
6145-SWCU,Attitude,Attitude of support person
0921-WYVG,Competitor,Competitor made better offer
8301-ZUSY,Attitude,Attitude of service provider
0684-OGXF,Attitude,Attitude of service provider
3907-MYYM,Attitude,Attitude of service provider
4881-JTZT,Attitude,Attitude of support person
6335-SWMI,Competitor,Competitor made better offer
2535-FWOQ,Other,Moved
6991-XJBB,Other,Moved
4972-HQJE,Other,Moved
4322-NPES,Competitor,Competitor had better devices
6131-MJRE,Competitor,Competitor offered higher download speeds
8582-OMPU,Attitude,Attitude of support person
1351-ERSV,Other,Don't know
7157-CWTR,Competitor,Competitor made better offer
8759-QETC,Competitor,Competitor had better devices
2236-LFDS,Competitor,Competitor had better devices
1169-ORTI,Competitor,Competitor had better devices
1877-QGZE,Competitor,Competitor offered higher download speeds
8630-CTDU,Competitor,Competitor offered more data
7712-HYWS,Competitor,Competitor offered more data
2208-PXKF,Competitor,Competitor offered more data
4158-RXXZ,Competitor,Competitor made better offer
2960-ISNM,Competitor,Competitor made better offer
1120-ZIKN,Competitor,Competitor had better devices
5527-RIAL,Price,Price too high
5317-TKJY,Price,Price too high
4876-LSUC,Price,Price too high
2174-JBVF,Price,Price too high
4044-NTXM,Price,Price too high
6425-HFFL,Price,Price too high
3823-OYMR,Competitor,Competitor had better devices
1347-WYMD,Competitor,Competitor had better devices
0619-DRLS,Price,Price too high
1505-RGNO,Dissatisfaction,Product dissatisfaction
6752-VVVP,Competitor,Competitor had better devices
7760-PAHH,Competitor,Competitor had better devices
4368-IOMO,Dissatisfaction,Network reliability
3425-HLPW,Other,Don't know
2463-VEZT,Other,Don't know
4126-AUXC,Other,Don't know
6231-YBKI,Other,Don't know
4261-MXMC,Dissatisfaction,Poor expertise of phone support
3494-DYGO,Competitor,Competitor had better devices
1871-TBWX,Attitude,Attitude of support person
5330-DBKT,Competitor,Competitor offered more data
4155-NFJO,Competitor,Competitor made better offer
3855-UUZN,Competitor,Competitor had better devices
8238-JOYM,Competitor,Competitor had better devices
6291-RVVM,Competitor,Competitor offered higher download speeds
5066-VNJW,Competitor,Competitor had better devices
7806-BBUB,Competitor,Competitor offered higher download speeds
4632-UWHX,Competitor,Competitor offered more data
1350-VGWO,Competitor,Competitor offered more data
4589-QBTU,Competitor,Competitor offered more data
0663-LWLM,Competitor,Competitor made better offer
0171-ZEZL,Competitor,Competitor made better offer
3961-CXXF,Competitor,Competitor had better devices
4388-KBKF,Competitor,Competitor offered higher download speeds
5031-CUMQ,Competitor,Competitor had better devices
9141-DZMH,Competitor,Competitor made better offer
6200-GDMN,Competitor,Competitor had better devices
8726-LCML,Competitor,Competitor had better devices
5611-FQLF,Attitude,Attitude of support person
8026-UNPP,Competitor,Competitor offered higher download speeds
9403-UEGH,Attitude,Attitude of support person
5581-BEMN,Competitor,Competitor had better devices
9961-JNUE,Competitor,Competitor offered more data
0034-TMPR,Competitor,Competitor offered more data
5245-JWLC,Other,Don't know
9095-FZBA,Competitor,Competitor made better offer
2490-MRXZ,Competitor,Competitor had better devices
0525-VIVB,Competitor,Competitor offered higher download speeds
8856-XDIV,Competitor,Competitor offered more data
2233-JFVD,Competitor,Competitor made better offer
2695-LGED,Competitor,Competitor had better devices
4769-NONM,Competitor,Competitor had better devices
8751-SWYJ,Competitor,Competitor offered higher download speeds
5645-IHNU,Competitor,Competitor offered higher download speeds
2978-AOXZ,Competitor,Competitor offered higher download speeds
3343-ULTF,Competitor,Competitor had better devices
5922-OCEG,Competitor,Competitor had better devices
3639-LUCC,Competitor,Competitor had better devices
4278-FLRA,Competitor,Competitor made better offer
3161-IDYE,Competitor,Competitor made better offer
3178-POPI,Competitor,Competitor had better devices
1933-RXVO,Attitude,Attitude of support person
6029-PZHP,Competitor,Competitor offered more data
1039-GDDV,Competitor,Competitor made better offer
3285-BECI,Competitor,Competitor had better devices
2473-PMJM,Competitor,Competitor had better devices
6773-GWCW,Competitor,Competitor offered higher download speeds
4790-WGIY,Competitor,Competitor offered higher download speeds
4875-FXIJ,Attitude,Attitude of support person
0450-ZWGZ,Competitor,Competitor offered more data
8418-BOIJ,Competitor,Competitor offered more data
9376-TYQS,Competitor,Competitor offered more data
2517-GTQL,Other,Don't know
8463-PKKE,Competitor,Competitor made better offer
8858-SSOV,Competitor,Competitor had better devices
3737-SGBB,Attitude,Attitude of service provider
0074-DECN,Attitude,Attitude of service provider
0328-TCIE,Attitude,Attitude of support person
9599-LFDU,Attitude,Attitude of support person
4905-NDDL,Attitude,Attitude of support person
9995-AOUC,Competitor,Competitor had better devices
3446-SRZQ,Attitude,Attitude of service provider
8976-RWJP,Competitor,Competitor had better devices
1433-GJWF,Attitude,Attitude of support person
5692-OHZW,Competitor,Competitor made better offer
8400-NAYB,Other,Moved
5778-CDIC,Other,Moved
5126-FVXO,Other,Moved
9091-PBKJ,Competitor,Competitor offered higher download speeds
3062-LMKL,Competitor,Competitor had better devices
1229-MHLH,Competitor,Competitor had better devices
0253-EAQU,Competitor,Competitor offered higher download speeds
0454-FERN,Other,Don't know
