Transaction ID,Date,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
224789,14/10/2020,13,Visa,Tap,21,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,53,Lloyds,0
224793,13/10/2020,19,Visa,PIN,274,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,53,Metro,0
224957,13/10/2020,12,MasterCard,PIN,310,ATM,Food,India,India,India,F,53,HSBC,0
224995,13/10/2020,23,Visa,Tap,21,Online,Restaurant,United Kingdom,China,United Kingdom,M,53,RBS,0
225036,14/10/2020,18,Visa,PIN,356,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,M,53,RBS,0
225091,13/10/2020,19,Visa,Tap,22,Online,Fashion,United Kingdom,United Kingdom,United Kingdom,F,53,Lloyds,0
225165,13/10/2020,7,Visa,Tap,14,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,F,53,Lloyds,0
225194,13/10/2020,12,Visa,PIN,61,POS,Products,India,India,United Kingdom,M,53,Monzo,0
225217,14/10/2020,18,Visa,Tap,27,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,M,53,Monzo,0
225269,14/10/2020,17,MasterCard,Tap,21,ATM,Products,United Kingdom,United Kingdom,United Kingdom,F,53,Halifax,0
225285,13/10/2020,13,MasterCard,PIN,302,ATM,Food,United Kingdom,USA,United Kingdom,M,53,Halifax,0
225370,14/10/2020,12,Visa,PIN,345,POS,Subscription,United Kingdom,China,United Kingdom,F,53,Barclays,0
225500,13/10/2020,15,Visa,PIN,120,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
225708,14/10/2020,18,Visa,Tap,16,POS,Children,United Kingdom,Russia,United Kingdom,M,53,Barlcays,0
225723,13/10/2020,15,MasterCard,PIN,155,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,53,Monzo,0
225728,14/10/2020,22,MasterCard,Tap,22,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,53,Monzo,0
225735,13/10/2020,23,MasterCard,Tap,30,POS,Restaurant,USA,USA,USA,F,53,Lloyds,0
225802,14/10/2020,13,MasterCard,PIN,123,ATM,Children,Russia,Russia,Russia,F,53,TSB,0
225824,14/10/2020,8,Visa,Tap,18,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,53,Metro,0
225825,14/10/2020,13,MasterCard,Tap,14,Online,Food,United Kingdom,United Kingdom,United Kingdom,M,53,HSBC,0
225854,14/10/2020,20,Visa,PIN,187,Online,Children,United Kingdom,United Kingdom,United Kingdom,M,53,Halifax,0
226061,13/10/2020,13,Visa,PIN,340,POS,Electronics,China,China,United Kingdom,F,53,RBS,0
226106,13/10/2020,20,Visa,Tap,22,POS,Services,United Kingdom,United Kingdom,United Kingdom,F,53,Halifax,0
226129,13/10/2020,23,MasterCard,PIN,67,Online,Gaming,USA,USA,USA,F,53,RBS,0
226142,14/10/2020,14,Visa,PIN,342,ATM,Gaming,United Kingdom,China,United Kingdom,F,53,Barclays,0
226162,13/10/2020,17,Visa,PIN,86,POS,Services,Russia,Russia,Russia,F,53,HSBC,0
226221,14/10/2020,3,MasterCard,PIN,351,Online,Children,China,China,United Kingdom,M,53,RBS,1
226253,14/10/2020,19,MasterCard,PIN,33,Online,Electronics,China,China,China,F,53,Metro,0
226333,13/10/2020,15,MasterCard,PIN,227,ATM,Food,Russia,Russia,Russia,F,53,Barclays,0
226476,14/10/2020,11,MasterCard,Tap,10,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,M,53,TSB,0
226521,14/10/2020,20,Visa,Tap,12,POS,Electronics,United Kingdom,United Kingdom,United Kingdom,M,53,RBS,0
226541,13/10/2020,12,Visa,Tap,26,Online,Subscription,China,China,United Kingdom,F,53,HSBC,1
226674,14/10/2020,11,Visa,Tap,12,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,53,Metro,0
226747,13/10/2020,23,MasterCard,Tap,16,ATM,Services,China,China,China,F,53,Halifax,0
226763,13/10/2020,20,MasterCard,PIN,327,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
226800,13/10/2020,7,Visa,Tap,16,Online,Children,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
226889,14/10/2020,8,Visa,Tap,19,POS,Fashion,Russia,Russia,Russia,M,53,Barclays,0
226955,13/10/2020,16,MasterCard,Tap,21,POS,Children,United Kingdom,China,United Kingdom,M,53,Halifax,1
227151,13/10/2020,18,Visa,PIN,211,POS,Food,Russia,Russia,Russia,F,53,Halifax,0
227191,14/10/2020,22,Visa,Tap,20,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
227209,14/10/2020,18,MasterCard,Tap,11,ATM,Services,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
227244,14/10/2020,17,Visa,Tap,21,Online,Entertainment,Russia,Russia,United Kingdom,M,53,RBS,1
227268,14/10/2020,11,MasterCard,PIN,33,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,53,RBS,0
227502,13/10/2020,19,Visa,PIN,29,POS,Food,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
227615,14/10/2020,22,MasterCard,PIN,127,ATM,Products,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
227780,13/10/2020,15,MasterCard,PIN,100,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,53,RBS,0
227782,13/10/2020,13,MasterCard,PIN,138,POS,Electronics,China,China,United Kingdom,M,53,Barclays,0
227791,13/10/2020,17,MasterCard,PIN,202,Online,Entertainment,United Kingdom,Russia,United Kingdom,M,53,RBS,0
227797,14/10/2020,18,Visa,PIN,101,Online,Subscription,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
227814,13/10/2020,16,Visa,PIN,291,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,F,53,Metro,0
227823,14/10/2020,17,Visa,Tap,12,ATM,Products,USA,USA,United Kingdom,F,53,Barclays,1
227876,14/10/2020,15,Visa,Tap,5,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,53,Lloyds,0
227989,13/10/2020,20,Visa,PIN,267,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,F,53,Lloyds,0
228175,13/10/2020,21,MasterCard,Tap,15,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,53,Monzo,0
228188,13/10/2020,18,MasterCard,Tap,22,Online,Restaurant,Russia,Russia,United Kingdom,M,53,Metro,1
228211,14/10/2020,11,Visa,PIN,237,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,F,53,HSBC,0
228218,13/10/2020,7,Visa,PIN,358,ATM,Entertainment,USA,USA,USA,F,53,Barclays,0
228276,14/10/2020,10,Visa,Tap,24,ATM,Products,United Kingdom,United Kingdom,United Kingdom,M,53,RBS,0
228334,14/10/2020,12,MasterCard,Tap,27,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
228492,13/10/2020,13,MasterCard,Tap,9,ATM,Electronics,India,India,India,F,53,TSB,0
228590,14/10/2020,12,Visa,PIN,125,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,F,53,Metro,0
228728,14/10/2020,2,MasterCard,Tap,24,Online,Fashion,United Kingdom,USA,United Kingdom,M,53,Barlcays,1
228814,13/10/2020,9,Visa,Tap,10,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,53,RBS,0
228821,14/10/2020,23,MasterCard,Tap,21,POS,Services,United Kingdom,USA,United Kingdom,M,53,Monzo,0
228860,13/10/2020,18,MasterCard,PIN,326,ATM,Services,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
228899,13/10/2020,19,Visa,PIN,377,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
228980,13/10/2020,13,MasterCard,Tap,9,POS,Services,Russia,Russia,United Kingdom,M,53,Halifax,1
229060,14/10/2020,11,Visa,PIN,187,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,M,53,Barlcays,0
229369,14/10/2020,7,MasterCard,Tap,30,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
229461,14/10/2020,11,Visa,Tap,14,ATM,Entertainment,United Kingdom,China,United Kingdom,M,53,Lloyds,0
229484,14/10/2020,18,Visa,Tap,19,ATM,Children,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
