Hours_Studied,Hours_Sleep,Number_of_Assignments,Dist_from_College,Grade
110,7,10,17.92,33
205,9,18,0.3,82
108,6,13,8.37,43
485,12,30,4.98,97
390,9,19,1.03,78
245,4,13,2.65,49
138,6,14,13.18,55
75,5,10,15.33,30
280,11,22,3.5,84
435,9,23,10.78,87
415,11,19,0.13,83
130,6,9,7.18,39
78,6,9,6.31,31
137,4,11,0.6,41
228,10,27,4.64,91
217,7,16,6.15,65
227,6,21,5.55,68
333,11,23,0.03,100
310,9,17,6.05,62
125,5,9,1.2,50
215,7,21,2.79,86
235,6,8,0,47
350,9,21,0.86,70
175,6,17,0,70
255,7,11,0.39,51
167,5,11,16.2,50
370,10,20,0.84,74
280,7,15,1.67,56
300,8,11,5.71,60
115,7,9,0.19,46
265,6,14,3.52,53
240,7,23,1.13,72
210,8,15,0.18,63
128,4,16,11.18,51
460,11,23,0,92
253,8,15,1.39,76
315,6,17,0.57,63
480,9,23,5.83,96
230,10,22,4.57,92
217,6,18,6.92,65
237,9,14,0,71
125,7,13,11.4,50
475,11,23,0,95
203,8,16,0,61
93,4,12,9.32,37
247,10,18,1.78,74
205,5,6,5.37,41
250,8,18,2.67,75
180,6,5,23.57,36
103,5,6,1.46,41
490,10,27,1.73,98
430,9,19,9.07,86
333,8,31,4.34,100
155,7,10,0.86,31
475,13,26,5.77,95
290,8,17,3.28,58
470,13,18,2.07,94
230,11,21,0.76,92
193,7,14,0,77
240,9,24,1.95,96
283,10,25,2.54,85
495,13,29,9.11,99
340,10,16,1.59,68
193,8,12,17.86,58
250,11,21,4.35,100
75,6,5,12.44,30
465,9,20,3.05,93
285,5,16,7.72,57
203,10,23,0.41,81
330,9,18,5.05,66
183,8,21,0.68,73
310,8,19,2.02,93
223,8,18,1.86,67
190,7,12,16.88,38
280,7,14,14.46,56
190,6,8,9.36,38
420,11,19,3.67,84
110,6,11,2.9,44
133,5,10,0.86,53
113,6,11,2.33,45
480,12,26,2.83,96
260,9,17,11.37,78
320,12,26,0.18,96
207,8,15,0.97,62
200,8,15,1,60
120,8,16,7.88,48
307,9,25,4.57,92
317,10,28,3.38,95
203,5,16,5.9,61
130,4,10,1.06,52
307,8,19,1.37,92
165,5,11,12.12,33
143,9,12,4.71,57
390,9,19,6.92,78
220,7,11,2.45,44
270,8,12,1.32,54
193,8,12,9.31,58
250,11,28,0.53,100
360,7,14,2.38,72
405,7,21,3.47,81
310,10,19,1.42,93
217,8,17,8.67,65
203,12,19,0.96,81
197,9,15,3.56,59
435,12,22,0,87
78,6,8,1.94,31
305,9,16,2.58,61
305,6,14,1.53,61
98,7,9,0,39
107,7,7,7.67,32
180,8,11,7.48,54
110,4,11,2.2,44
250,8,26,7.71,100
160,7,14,13.13,64
170,6,14,0.98,68
155,6,7,6.45,31
280,9,21,0,84
218,9,18,3.15,87
280,8,13,3.93,56
153,7,11,3.62,46
257,10,17,1.1,77
475,12,23,4.36,95
200,10,21,0.14,80
245,5,14,0,49
333,14,28,2,100
218,9,20,6.62,87
370,7,15,2.7,74
335,6,20,0.64,67
103,5,6,5.16,31
155,4,5,8.23,31
103,7,11,8.05,41
80,7,8,6.68,32
205,5,6,0,41
163,7,12,19.68,49
223,10,18,1.19,89
110,8,14,2.45,44
300,9,16,5.63,60
180,5,8,19.56,36
203,10,18,1.03,81
235,11,22,5.86,94
420,8,22,2.57,84
490,10,24,0.36,98
220,10,23,1.69,88
113,7,7,1.37,34
138,8,15,1.53,55
140,9,15,15.27,56
128,7,16,3.36,51
160,7,11,0.23,48
107,7,12,10.38,32
180,6,9,12.28,36
270,5,16,5.42,54
120,8,10,3.57,48
108,7,9,9.41,43
187,8,12,17.02,56
168,7,17,0.84,67
200,8,14,2.79,60
