CustomerID,Gender,Age,Spending Score (1-100),Annual Income
1,Male,19,39,15000
2,Male,21,81,15000
3,Female,20,6,16000
4,Female,23,77,16000
5,Female,31,40,17000
6,Female,22,76,17000
7,Female,35,6,18000
8,Female,23,94,18000
9,Male,64,3,19000
10,Female,30,72,19000
11,Male,67,14,19000
12,Female,35,99,19000
13,Female,58,15,20000
14,Female,24,77,20000
15,Male,37,13,20000
16,Male,22,79,20000
17,Female,35,35,21000
18,Male,20,66,21000
19,Male,52,29,23000
20,Female,35,98,23000
21,Male,35,35,24000
22,Male,25,73,24000
23,Female,46,5,25000
24,Male,31,73,25000
25,Female,54,14,28000
26,Male,29,82,28000
27,Female,45,32,28000
28,Male,35,61,28000
29,Female,40,31,29000
30,Female,23,87,29000
31,Male,60,4,30000
32,Female,21,73,30000
33,Male,53,4,33000
34,Male,18,92,33000
35,Female,49,14,33000
36,Female,21,81,33000
37,Female,42,17,34000
38,Female,30,73,34000
39,Female,36,26,37000
40,Female,20,75,37000
41,Female,65,35,38000
42,Male,24,92,38000
43,Male,48,36,39000
44,Female,31,61,39000
45,Female,49,28,39000
46,Female,24,65,39000
47,Female,50,55,40000
48,Female,27,47,40000
49,Female,29,42,40000
50,Female,31,42,40000
51,Female,49,52,42000
52,Male,33,60,42000
53,Female,31,54,43000
54,Male,59,60,43000
55,Female,50,45,43000
56,Male,47,41,43000
57,Female,51,50,44000
58,Male,69,46,44000
59,Female,27,51,46000
60,Male,53,46,46000
61,Male,70,56,46000
62,Male,19,55,46000
63,Female,67,52,47000
64,Female,54,59,47000
65,Male,63,51,48000
66,Male,18,59,48000
67,Female,43,50,48000
68,Female,68,48,48000
69,Male,19,59,48000
70,Female,32,47,48000
71,Male,70,55,49000
72,Female,47,42,49000
73,Female,60,49,50000
74,Female,60,56,50000
75,Male,59,47,54000
76,Male,26,54,54000
77,Female,45,53,54000
78,Male,40,48,54000
79,Female,23,52,54000
80,Female,49,42,54000
81,Male,57,51,54000
82,Male,38,55,54000
83,Male,67,41,54000
84,Female,46,44,54000
85,Female,21,57,54000
86,Male,48,46,54000
87,Female,55,58,57000
88,Female,22,55,57000
89,Female,34,60,58000
90,Female,50,46,58000
91,Female,68,55,59000
92,Male,18,41,59000
93,Male,48,49,60000
94,Female,40,40,60000
95,Female,32,42,60000
96,Male,24,52,60000
97,Female,47,47,60000
98,Female,27,50,60000
99,Male,48,42,61000
100,Male,20,49,61000
101,Female,23,41,62000
102,Female,49,48,62000
103,Male,67,59,62000
104,Male,26,55,62000
105,Male,49,56,62000
106,Female,21,42,62000
107,Female,66,50,63000
108,Male,54,46,63000
109,Male,68,43,63000
110,Male,66,48,63000
111,Male,65,52,63000
112,Female,19,54,63000
113,Female,38,42,64000
114,Male,19,46,64000
115,Female,18,48,65000
116,Female,19,50,65000
117,Female,63,43,65000
118,Female,49,59,65000
119,Female,51,43,67000
120,Female,50,57,67000
121,Male,27,56,67000
122,Female,38,40,67000
123,Female,40,58,69000
124,Male,39,91,69000
125,Female,23,29,70000
126,Female,31,77,70000
127,Male,43,35,71000
128,Male,40,95,71000
129,Male,59,11,71000
130,Male,38,75,71000
131,Male,47,9,71000
132,Male,39,75,71000
133,Female,25,34,72000
134,Female,31,71,72000
135,Male,20,5,73000
136,Female,29,88,73000
137,Female,44,7,73000
138,Male,32,73,73000
139,Male,19,10,74000
140,Female,35,72,74000
141,Female,57,5,75000
142,Male,32,93,75000
143,Female,28,40,76000
144,Female,32,87,76000
145,Male,25,12,77000
146,Male,28,97,77000
147,Male,48,36,77000
148,Female,32,74,77000
149,Female,34,22,78000
150,Male,34,90,78000
151,Male,43,17,78000
152,Male,39,88,78000
153,Female,44,20,78000
154,Female,38,76,78000
155,Female,47,16,78000
156,Female,27,89,78000
157,Male,37,1,78000
158,Female,30,78,78000
159,Male,34,1,78000
160,Female,30,73,78000
161,Female,56,35,79000
162,Female,29,83,79000
163,Male,19,5,81000
164,Female,31,93,81000
165,Male,50,26,85000
166,Female,36,75,85000
167,Male,42,20,86000
168,Female,33,95,86000
169,Female,36,27,87000
170,Male,32,63,87000
171,Male,40,13,87000
172,Male,28,75,87000
173,Male,36,10,87000
174,Male,36,92,87000
175,Female,52,13,88000
176,Female,30,86,88000
177,Male,58,15,88000
178,Male,27,69,88000
179,Male,59,14,93000
180,Male,35,90,93000
181,Female,37,32,97000
182,Female,32,86,97000
183,Male,46,15,98000
184,Female,29,88,98000
185,Female,41,39,99000
186,Male,30,97,99000
187,Female,54,24,101000
188,Male,28,68,101000
189,Female,41,17,103000
190,Female,36,85,103000
191,Female,34,23,103000
192,Female,32,69,103000
193,Male,33,8,113000
194,Female,38,91,113000
195,Female,47,16,120000
196,Female,35,79,120000
197,Female,45,28,126000
198,Male,32,74,126000
199,Male,32,18,137000
200,Male,30,83,137000
